,Cluster No,Verb1,Verb2,Verb3,Verb4,Verb5,Obj1,Obj2,Obj3,Obj4,Obj5
0,0,FALLS,RISES,DECLINES,INCREASES,DROPS,FORECAST,ESTIMATES,FORECASTS,ESTIMATE,PROJECTIONS
1,1,TURNS,BECOMES,PLAYS,LEAVES,SPELLS,BECOMES,TURNS,PLAYS,PROBLEMS,HAPPENS
2,2,HOPE,SAVED,REALISED,THOUGHT,REALISE,FRIENDS,DAD,MUM,DAUGHTER,FRIEND
3,3,MAKE,MAKING,MADE,MAKES,ACCOMPLISH,MAKE,MAKING,MADE,MAKES,ACCOMPLISH
4,4,CUTS,S,HIKES,REDUCTIONS,CUT,JOBS,JOB,EMPLOYMENT,PAYROLLS,WORKERS
5,5,LOSES,REVERT,PUSHES,PULLS,STICK,NEIGHBOURS,FRIENDSHIPS,AMBITIONS,IDEOLOGUES,FENCES
6,6,BUY,SELL,PURCHASE,BUYING,OFFLOAD,BUY,SELL,PURCHASE,BUYING,OFFLOAD
7,7,REPORTS,POSTS,RELEASES,TWEETS,REPORTED,EARNINGS,EPS,PROFITS,PROFIT,RESULTS
8,8,PAY,PAYING,PAID,EARN,WAIVE,GENDER,EQUALITY,WOMEN,WORKPLACE,SEX
9,9,URGED,URGING,APPEALED,VOWED,PLEDGED,MAKE,SAVE,SPEND,BORROW,DONATE
10,10,SPEND,SAVE,EARN,SPENT,SPENDS,CHINA,CHINAS,CHINESE,CHINA’S,JAPAN
11,11,LEARN,TEACH,MENTORS,HEAR,EDUCATE,THINGS,GOOGLE,APPS,WHATSAPP,ANDROID
12,12,DELIVERS,PROVIDES,OFFERS,ENABLES,SUPPORTS,DELIVERS,PROVIDES,SUPPORTS,OFFERS,ENABLES
13,13,BORROWED,BUYS,BOUGHT,PURCHASED,LOANED,TIME,MOMENT,TIMETHE,TIME”,GLANCE
14,14,FACES,FACING,FACED,SEES,POSES,DEAL,AGREEMENT,PACT,TIE-UP,DEALS
15,15,ANNOUNCES,RAISES,APPROVES,COMPLETES,DECLARES,DIVIDEND,DIVIDENDS,PAYOUT,PAYOUTS,YIELD
16,16,TAKES,TOOK,TAKING,TAKE,GETS,TAKES,TOOK,TAKING,TAKE,GETS
17,17,WANTS,FAILS,TRIES,DECIDES,CHOOSES,COMPANY,FIRM,COMPANYS,COMPANY’S,GIANT
18,18,ADDS,TURNS,PULLS,PUSHES,THROWS,WEBSITE,SITE,WWWSEDARCOM,BLOG,PORTAL
19,19,HITS,REACHES,HIT,SINKS,LIFTS,DEFICIT,SURPLUS,DEFICITS,SURPLUSES,SHORTFALL
20,20,RECEIVES,RECEIVED,EARNS,EARNED,RECEIVING,RECEIVES,RECEIVED,EARNS,EARNED,RECEIVING
21,21,KNOW,UNDERSTAND,FORGET,THINK,TELL,GOING,SUPPOSED,TRYING,WILLING,UNLIKELY
22,22,USES,HELPS,ALLOWS,ENABLES,UTILIZES,PROTECT,PREVENT,PROTECTING,SHIELD,EXPLOIT
23,23,MAKES,BECOMES,MAKING,GIVES,LEAVES,MAKES,BECOMES,MAKING,GIVES,LEAVES
24,24,BUY,SELL,SPEND,PURCHASE,BUYS,BILLION,MILLION,TRILLION,1BN,2BN
25,25,SAYS,SAID,SAIDBUT,SAYSTHE,SAIDTHE,CONSIDERING,EXPLORING,CONTEMPLATING,MULLING,PROPOSING
26,26,HIT,HITTING,HITS,HURT,SLUMPED,SCANDAL,HIT,ACCOUNTING,SCANDALS,EMISSIONS-RIGGING
27,27,ADDS,PRICESBY,SHARESBY,BYLINE,SEES,GAMES,FILMS,MATCHES,MOVIES,MUSIC
28,28,PUSH,DRIVE,MOVE,PUSHING,PULL,CHINA,CHINAS,CHINESE,CHINA’S,JAPAN
29,29,PAID,PAYING,PAY,PAYS,UNPAID,PAID,PAYING,PAY,PAYS,UNPAID
30,30,USE,USING,UTILIZE,USED,INSTALL,FIND,USE,CHOOSE,UTILIZE,OPT
31,31,ADDS,PRICESBY,SHARESBY,BYLINE,SEES,BOARD,CHANCE,CODE,MANDATE,DISCRETION
32,32,SAID,SAIDTHE,SAYS,NOTED,SAIDBUT,PLANNING,PREPARE,PREPARING,PREPARATION,BUDGETING
33,33,S,U,A00A50B00B60C10C63C64C85C86G00G53H00H53L10L84L85L86P20P43P44T10T53T54V00V53,GS,P85D,S,TWEET,ACTRESS,ROZLIŠENÍM,WOMAN
34,34,FACES,FACING,FACED,SEES,POSES,LOSS,WRITEDOWNS,PLANT,REDUNDANCIES,WRITE-DOWNS
35,35,KEEPS,BRINGS,REACHES,PUTS,INTRODUCES,CHINA,CHINAS,CHINESE,CHINA’S,JAPAN
36,36,KEEP,REMAIN,STAY,MAINTAIN,KEEPING,MEMO,HUMANS,AMY,PSYCHOLOGIST,DESHON
37,37,TAKE,TAKING,TAKEN,FIRST-MOVER,TAKES,SPEND,SMARTPHONE,SAVE,SMARTPHONES,PHONES
38,38,MEET,SATISFY,FULFILL,FULFIL,ADHERE,SECRETARY,COMMISSIONER,DIRECTOR-GENERAL,SECRETARIES,SUPERINTENDENT
39,39,TAKES,TOOK,TAKING,TAKE,GETS,TOLL,BATTERING,HATCHET,CUE,*CLOSES
40,40,INCREASED,DECREASED,REDUCED,INCREASING,IMPROVED,OFFER,OFFERING,PROVIDE,OFFERS,OFFERED
41,41,PLEDGES,PROMISES,PLEDGE,VOWS,PLEDGING,MINISTER,MINSTER,MINISTER’S,MINISTERS,MINISTERTHE
42,42,EXPECTS,INTENDS,CONTINUES,WANTS,AIMS,REGULATOR,WATCHDOG,REGULATORS,CMA,SEBI
43,43,MADE,MAKING,MAKE,MAKES,RECEIVED,MADE,INDEPENDENT,MAKING,CRITICISED,ACCEPTED
44,44,HIT,HITTING,HITS,HURT,SLUMPED,WORKERS,EMPLOYERS,EMPLOYEES,WORKER,TEACHERS
45,45,PAYS,RECEIVES,GETS,LEAVES,GOES,INSTITUTE,COUNCIL,ACADEMY,INSTITUTES,ASSOCIATION
46,46,LAUNCHES,ACQUIRES,EXPANDS,LAUNCHED,LAUNCHING,LAUNCHES,HUAWEI,MOTOROLA,QUAD-CORE,HANDSETS
47,47,FIGHT,FIGHTING,BATTLE,PROTEST,HUNGER,FIGHT,FIGHTING,BATTLE,PROTEST,HUNGER
48,48,MAKES,EARN,MAKE,EARNS,PAYS,REPORT,SURVEY,STUDY,REPORTTHE,REPORTS
49,49,ANNOUNCES,ANNOUNCED,COMPLETES,CONFIRMS,GMTFRIDAY,ANNOUNCES,ANNOUNCED,COMPLETES,CONFIRMS,GMTFRIDAY
50,50,S,U,A00A50B00B60C10C63C64C85C86G00G53H00H53L10L84L85L86P20P43P44T10T53T54V00V53,NKE,GS,CEO,CFO,COO,CO-FOUNDER,FOUNDER
51,51,KNOW,UNDERSTAND,FORGET,THINK,TELL,CHANGES,ADJUSTMENTS,CHANGE,IMPROVEMENTS,REDUCTIONS
52,52,PAY,PAYING,WAIVE,PAID,REPAY,SHAREHOLDERS,SHAREHOLDER,STOCKHOLDERS,UNITHOLDERS,INVESTORS
53,53,TARGET,TARGETS,GOAL,FORECASTS,FORECAST,PARTIES,ADVERTISERS,AUDIENCES,CANDIDATES,SIDES
54,54,KILLED,INJURED,WOUNDED,KILLING,ARRESTED,KILLED,INJURED,WOUNDED,KILLING,ARRESTED
55,55,STEPS,ACTIONS,MEASURES,STEP,PRECAUTIONS,WINDOWS,IOS,ANDROID,TABLET,DESKTOP
56,56,REPORTS,BUYS,RELEASES,REPORTSTHE,REPORTED,RESULTS,PERFORMANCE,EARNINGS,RESULTSTHE,FINDINGS
57,57,RUN,HAUL,RUNNING,STRETCH,GO,PERSON,SOMEONE,WOMAN,ANYONE,PERSONS
58,58,WARNED,CLAIMED,ACKNOWLEDGED,ARGUED,CONCEDED,INDEPENDENT,AUDIT,THIRD-PARTY,IN-DEPTH,COMPETENT
59,59,ACCOUNTS,ACCOUNT,TRANSFERS,TRANSACTIONS,DEPOSITS,ACCOUNTS,ACCOUNT,TRANSFERS,TRANSACTIONS,DEPOSITS
60,60,INVEST,INVESTED,INVESTING,ALLOCATE,BORROW,SINGAPORE,BERMUDA,SWITZERLAND,THAILAND,NORWAY
61,61,BEAT,BEATS,MISS,TOPPED,BEATING,BEAT,BEATS,MISS,TOPPED,BEATING
62,62,OPENS,OPENED,HEATS,ENTERS,WAKES,ENGLAND,ENGLANDS,HAMPSHIRE,PALMERSTON,BEDFORD
63,63,EARN,BEAT,EARNED,DONATE,FORGO,GOOGLE,WHATSAPP,MICROSOFT,ALPHABET,GOOG
64,64,LOOKS,SEEMS,FEELS,SOUNDS,SEEMED,LOT,BIT,PLENTY,BUNCH,PLETHORA
65,65,BUILD,DEVELOP,CREATE,ESTABLISH,CONSTRUCT,SINGAPORE,THAILAND,JAKARTA,SEOUL,SWITZERLAND
66,66,HIT,HITS,HITTING,TOUCHED,TUMBLED,SLOWDOWN,DOWNTURN,DECELERATION,SLOWING,SLUMP
67,67,GOING,SUPPOSED,TRYING,WILLING,UNLIKELY,GOING,SUPPOSED,TRYING,WILLING,UNLIKELY
68,68,ACCUSED,ADMITS,ACCUSING,ADMITTED,DENIES,TELLING,ASKING,REMINDING,SAYING,INFORMING
69,69,WANTS,WANTED,FAILS,TRIES,DECIDES,MAKE,MAKING,MADE,MAKES,ACCOMPLISH
70,70,APPLIES,REFERS,REQUIRES,APPLY,IGNORES,LOAN,LOANS,MORTGAGE,MORTGAGES,REFINANCING
71,71,SAYS,SAID,SAIDBUT,SAYSTHE,SAIDTHE,SAYS,SAID,SAIDBUT,SAYSTHE,SAIDTHE
72,72,CALLED,PRAISED,CALLING,DUBBED,SLAMMED,MEETING,MEETINGS,SUMMIT,CONFERENCE,MEETINGTHE
73,73,RISKS,RISK,UNCERTAINTIES,CHALLENGES,HURDLES,GROWTH,RECOVERY,GROWTHTHE,GROWTH”,EXPANSION
74,74,LEAVE,AFFORD,STAY,WITHDRAW,LOSE,VOTE,REFERENDUM,VOTES,PLEBISCITE,VOTED
75,75,AVOID,PREVENT,STOP,HANDLE,COMMIT,PAYING,PAID,PAY,PAYS,EARNING
76,76,GOES,WENT,COMES,TURNS,GETS,LONDON,DUBLIN,FRANKFURT,SEOUL,LONDONS
77,77,REVEALS,FINDS,SHOWS,CONFIRMS,SUGGESTS,ITERATION,CRAZE,INNINGS,IPHONE’S,NOTEBOOK
78,78,SPEND,SPENDS,EARN,SPENT,SAVE,GOVERNMENT,GOVERNMENTS,GOVERNMENT’S,AUTHORITIES,CABINET
79,79,CUT,SLASH,SLASHED,SLASHING,CUTTING,NIKKEI,DAX,N225,TOPIX,IBEX
80,80,ANNOUNCES,ANNOUNCED,COMPLETES,CONFIRMS,GMTFRIDAY,PLATFORM,ECOSYSTEM,PLATFORMS,WEB-BASED,CLOUD-BASED
81,81,FALL,DROP,DECLINE,RISE,DIP,GROWTH,RECOVERY,GROWTHTHE,GROWTH”,EXPANSION
82,82,NEEDS,NEED,NEEDED,WANTS,DEMANDS,MEET,SATISFY,FULFILL,FULFIL,ADHERE
83,83,RELEASES,RELEASE,MENAFN,DISTRIBUTES,ANNOUNCES,IPHONE,IPAD,6S,IPHONES,ANDROID
84,84,TARGETS,BUYS,TARGET,FORECASTS,SELLS,DEAL,AGREEMENT,PACT,TIE-UP,DEALS
85,85,ANNOUNCES,ANNOUNCED,COMPLETES,CONFIRMS,GMTFRIDAY,AIRCRAFT,FLIGHT,PLANES,FLIGHTS,JETS
86,86,OPERATE,SERVE,COMPETE,ENGAGE,THRIVE,EUROPE,OPERATE,COMPETE,GERMANY,THRIVE
87,87,FALLS,DECLINES,DROPS,FALL,PLUNGES,WORRIES,FEARS,CONCERNS,DOUBTS,JITTERS
88,88,SEE,REALISE,THINK,KNOW,APPRECIATE,INTELLIGENCE,ANALYTICS,PREDICTIVE,SURVEILLANCE,INSIGHTS
89,89,STOP,PREVENT,RESIST,AVOID,REMOVE,PUTTING,PUT,THROWING,BRINGING,PUTS
