Date;Week day;ON;1W;1M;2M;3M;6M;12M
06.12.2019;Fri;0.67000;0.69980;0.70660;0.75090;0.78210;0.86040;0.96710
05.12.2019;Thu;0.66980;0.68890;0.70810;0.75260;0.78540;0.86660;0.97550
04.12.2019;Wed;0.67090;0.68810;0.70960;0.75150;0.78310;0.85890;0.96160
03.12.2019;Tue;0.67150;0.68880;0.70380;0.75150;0.78440;0.85750;0.95740
02.12.2019;Mon;0.67840;0.68840;0.70400;0.75260;0.78700;0.86200;0.96260
29.11.2019;Fri;0.67510;0.68660;0.70540;0.75510;0.79310;0.85730;0.94690
28.11.2019;Thu;0.67230;0.69150;0.70730;0.75530;0.79350;0.85780;0.94550
27.11.2019;Wed;0.66960;0.69160;0.71340;0.75310;0.79490;0.84690;0.93410
26.11.2019;Tue;0.67780;0.69510;0.71390;0.75700;0.79160;0.84780;0.93430
25.11.2019;Mon;0.65930;0.68950;0.71290;0.75780;0.78380;0.84480;0.93330
22.11.2019;Fri;0.66940;0.69290;0.71340;0.75950;0.78700;0.84980;0.94590
21.11.2019;Thu;0.67900;0.69130;0.71710;0.75990;0.79780;0.86140;0.96550
20.11.2019;Wed;0.67940;0.69190;0.71390;0.75880;0.80240;0.85830;0.95860
19.11.2019;Tue;0.67880;0.69350;0.71330;0.75810;0.78930;0.85790;0.96530
18.11.2019;Mon;0.68410;0.69460;0.71180;0.75890;0.78990;0.85950;0.96580
15.11.2019;Fri;0.68150;0.69240;0.71180;0.75950;0.78710;0.85650;0.95130
14.11.2019;Thu;0.68410;0.68660;0.71200;0.76240;0.78890;0.85840;0.95500
13.11.2019;Wed;0.67150;0.69210;0.71230;0.76240;0.79180;0.86610;0.96490
12.11.2019;Tue;0.66660;0.69060;0.71510;0.76300;0.79110;0.88140;0.97080
11.11.2019;Mon;0.68210;0.68990;0.71550;0.75900;0.78840;0.86890;0.95800
08.11.2019;Fri;0.67960;0.69010;0.71610;0.76010;0.78990;0.87140;0.95750
07.11.2019;Thu;0.68200;0.68940;0.71730;0.76140;0.79910;0.89340;0.98730
06.11.2019;Wed;0.68000;0.69130;0.71660;0.76330;0.79850;0.89440;0.98930
05.11.2019;Tue;0.68160;0.68890;0.71590;0.76400;0.80450;0.89330;0.97880
04.11.2019;Mon;0.67910;0.68960;0.71360;0.76190;0.80460;0.88990;0.97200
01.11.2019;Fri;0.68040;0.69240;0.71350;0.76480;0.81540;0.88710;0.98310
31.10.2019;Thu;0.67730;0.69380;0.71330;0.76160;0.80930;0.87630;0.97160
30.10.2019;Wed;0.67440;0.69840;0.71410;0.75710;0.80000;0.87910;0.98380
29.10.2019;Tue;0.68100;0.69860;0.71280;0.75740;0.79650;0.87450;0.98330
28.10.2019;Mon;0.67910;0.69560;0.71160;0.75830;0.80360;0.86740;0.96280
25.10.2019;Fri;0.68180;0.69340;0.71240;0.75480;0.80300;0.87410;0.96230
24.10.2019;Thu;0.67210;0.68740;0.71440;0.76160;0.80510;0.87840;0.97410
23.10.2019;Wed;0.68460;0.69010;0.71140;0.75980;0.79850;0.86650;0.95850
22.10.2019;Tue;0.66910;0.69200;0.71110;0.75700;0.78990;0.86790;0.97010
21.10.2019;Mon;0.68040;0.69050;0.71110;0.75910;0.79540;0.88430;0.99150
18.10.2019;Fri;0.66930;0.69460;0.71050;0.75890;0.79380;0.88000;0.98580
17.10.2019;Thu;0.66840;0.69260;0.71450;0.76130;0.79310;0.88460;0.98480
16.10.2019;Wed;0.67230;0.69190;0.71180;0.75580;0.78360;0.86240;0.95680
15.10.2019;Tue;0.66940;0.69480;0.71410;0.75710;0.78500;0.86500;0.96010
14.10.2019;Mon;0.66510;0.68980;0.71440;0.75540;0.78250;0.85840;0.95710
11.10.2019;Fri;0.67190;0.69260;0.71640;0.75560;0.78480;0.85140;0.94140
10.10.2019;Thu;0.66060;0.69490;0.71030;0.74540;0.77380;0.82900;0.88540
09.10.2019;Wed;0.67130;0.69260;0.70940;0.74010;0.76430;0.81610;0.86910
08.10.2019;Tue;0.66760;0.68960;0.71350;0.73880;0.76140;0.81240;0.86650
07.10.2019;Mon;0.67750;0.69540;0.71460;0.74080;0.76090;0.81660;0.88410
04.10.2019;Fri;0.67030;0.69080;0.71400;0.74130;0.75980;0.82110;0.89380
03.10.2019;Thu;0.66290;0.69200;0.71560;0.73780;0.76080;0.82610;0.89150
02.10.2019;Wed;0.68080;0.69050;0.71430;0.73950;0.76660;0.83400;0.90850
01.10.2019;Tue;0.66540;0.69340;0.71590;0.73390;0.75960;0.83460;0.91090
30.09.2019;Mon;0.66030;0.69810;0.71530;0.74380;0.75800;0.82680;0.88950
27.09.2019;Fri;0.66960;0.69210;0.71350;0.74290;0.76090;0.82850;0.89210
26.09.2019;Thu;0.67040;0.69890;0.71580;0.74210;0.77080;0.85160;0.93160
25.09.2019;Wed;0.67900;0.69960;0.71490;0.74040;0.76430;0.84480;0.93100
24.09.2019;Tue;0.66940;0.69780;0.71380;0.74630;0.76600;0.84460;0.93680
23.09.2019;Mon;0.66960;0.69040;0.71340;0.74710;0.76500;0.84030;0.94340
20.09.2019;Fri;0.66860;0.69530;0.71500;0.74680;0.77630;0.84860;0.94690
19.09.2019;Thu;0.66960;0.69600;0.71440;0.74810;0.77890;0.84310;0.93850
18.09.2019;Wed;0.66050;0.69690;0.71390;0.74910;0.77560;0.83430;0.93740
17.09.2019;Tue;0.66130;0.69380;0.71410;0.75450;0.78280;0.84550;0.94950
16.09.2019;Mon;0.67610;0.69010;0.71400;0.75280;0.78140;0.85150;0.96250
13.09.2019;Fri;0.67150;0.68830;0.71230;0.75780;0.78460;0.84050;0.96210
12.09.2019;Thu;0.66900;0.68860;0.71110;0.75480;0.77990;0.83010;0.93710
11.09.2019;Wed;0.67760;0.68890;0.71160;0.74700;0.78300;0.82760;0.92640
10.09.2019;Tue;0.67730;0.68590;0.70980;0.74690;0.77200;0.81960;0.89980
09.09.2019;Mon;0.66960;0.69150;0.71000;0.74500;0.76690;0.81690;0.89160
06.09.2019;Fri;0.67330;0.68660;0.70980;0.74630;0.76760;0.81140;0.87710
05.09.2019;Thu;0.67010;0.68630;0.71000;0.74480;0.76510;0.80740;0.87010
04.09.2019;Wed;0.66840;0.68860;0.70890;0.74340;0.76160;0.78680;0.83310
03.09.2019;Tue;0.66990;0.68660;0.70800;0.74280;0.75730;0.77630;0.81260
02.09.2019;Mon;0.66960;0.69350;0.70810;0.74330;0.76680;0.78350;0.83210
30.08.2019;Fri;0.68040;0.68750;0.70800;0.74330;0.75930;0.78240;0.83550
29.08.2019;Thu;0.66440;0.68390;0.70660;0.74380;0.75490;0.77950;0.83890
28.08.2019;Wed;0.66630;0.69480;0.70630;0.74780;0.75980;0.77930;0.82650
27.08.2019;Tue;0.67780;0.69450;0.70940;0.74430;0.76460;0.79310;0.85140
23.08.2019;Fri;0.67690;0.68440;0.70900;0.74680;0.76200;0.80550;0.86630
22.08.2019;Thu;0.67500;0.68580;0.70840;0.74330;0.76090;0.79890;0.85360
21.08.2019;Wed;0.66660;0.68780;0.70860;0.74550;0.76410;0.80110;0.85630
20.08.2019;Tue;0.66960;0.69300;0.70980;0.74440;0.76050;0.80130;0.84780
19.08.2019;Mon;0.66260;0.69310;0.71080;0.74450;0.76540;0.80980;0.86780
16.08.2019;Fri;0.66800;0.68480;0.71060;0.74610;0.76550;0.80980;0.86330
15.08.2019;Thu;0.66810;0.68660;0.71050;0.74530;0.76810;0.80160;0.84900
14.08.2019;Wed;0.66890;0.68990;0.71040;0.74510;0.76990;0.80330;0.84950
13.08.2019;Tue;0.66650;0.69330;0.71230;0.74310;0.75940;0.79660;0.82340
12.08.2019;Mon;0.67830;0.69300;0.71280;0.74390;0.76100;0.79430;0.82430
09.08.2019;Fri;0.66510;0.68810;0.71130;0.74540;0.76380;0.79560;0.82710
08.08.2019;Thu;0.66880;0.68840;0.70400;0.74490;0.76960;0.80040;0.83610
07.08.2019;Wed;0.67200;0.69110;0.70510;0.74540;0.77100;0.80080;0.83490
06.08.2019;Tue;0.67000;0.68940;0.70540;0.74460;0.77290;0.80250;0.84460
05.08.2019;Mon;0.67140;0.68750;0.71110;0.74290;0.76790;0.80960;0.84040
02.08.2019;Fri;0.66330;0.69410;0.71140;0.74410;0.77310;0.81140;0.84600
01.08.2019;Thu;0.66890;0.68490;0.71150;0.74380;0.77000;0.81180;0.84700
31.07.2019;Wed;0.66860;0.68640;0.71330;0.74390;0.77260;0.81350;0.85190
30.07.2019;Tue;0.67460;0.68240;0.71190;0.74210;0.77200;0.81130;0.84950
29.07.2019;Mon;0.66810;0.68660;0.71430;0.74690;0.77760;0.81000;0.85680
26.07.2019;Fri;0.66580;0.69480;0.71630;0.74510;0.78330;0.81190;0.86210
25.07.2019;Thu;0.66090;0.68560;0.71640;0.74600;0.78180;0.80490;0.85830
24.07.2019;Wed;0.66660;0.69540;0.71510;0.74780;0.78300;0.80310;0.85750
23.07.2019;Tue;0.66860;0.69430;0.71490;0.74780;0.77850;0.80510;0.86200
22.07.2019;Mon;0.66040;0.69460;0.72010;0.75110;0.77260;0.80100;0.86060
19.07.2019;Fri;0.66450;0.69330;0.72140;0.75230;0.76480;0.80060;0.85960
18.07.2019;Thu;0.66680;0.68630;0.71980;0.75210;0.76600;0.80200;0.86310
17.07.2019;Wed;0.66190;0.68730;0.71900;0.75130;0.76650;0.80200;0.87560
