Ticker,Name,GICS
A,Agilent Technologies Inc,Health Care
AAL,American Airlines Group,Industrials
AAP,Advance Auto Parts,Consumer Discretionary
AAPL,Apple Inc.,Information Technology
ABBV,AbbVie Inc.,Health Care
ABC,AmerisourceBergen Corp,Health Care
ABMD,ABIOMED Inc,Health Care
ABT,Abbott Laboratories,Health Care
ACN,Accenture plc,Information Technology
ADBE,Adobe Systems Inc,Information Technology
ADI,Analog Devices  Inc.,Information Technology
ADM,Archer-Daniels-Midland Co,Consumer Staples
ADP,Automatic Data Processing,Information Technology
ADS,Alliance Data Systems,Information Technology
ADSK,Autodesk Inc.,Information Technology
AEE,Ameren Corp,Utilities
AEP,American Electric Power,Utilities
AES,AES Corp,Utilities
AFL,AFLAC Inc,Financials
AGN,Allergan  Plc,Health Care
AIG,American International Group,Financials
AIV,Apartment Investment & Management,Real Estate
AIZ,Assurant,Financials
AJG,Arthur J. Gallagher & Co.,Financials
AKAM,Akamai Technologies Inc,Information Technology
ALB,Albemarle Corp,Materials
ALGN,Align Technology,Health Care
ALK,Alaska Air Group Inc,Industrials
ALL,Allstate Corp,Financials
ALLE,Allegion,Industrials
ALXN,Alexion Pharmaceuticals,Health Care
AMAT,Applied Materials Inc.,Information Technology
AMCR,Amcor plc,Materials
AMD,Advanced Micro Devices Inc,Information Technology
AME,AMETEK Inc.,Industrials
AMG,Affiliated Managers Group Inc,Financials
AMGN,Amgen Inc.,Health Care
AMP,Ameriprise Financial,Financials
AMT,American Tower Corp.,Real Estate
AMZN,Amazon.com Inc.,Consumer Discretionary
ANET,Arista Networks,Information Technology
ANSS,ANSYS,Information Technology
ANTM,Anthem,Health Care
AON,Aon plc,Financials
AOS,A.O. Smith Corp,Industrials
APA,Apache Corporation,Energy
APD,Air Products & Chemicals Inc,Materials
APH,Amphenol Corp,Information Technology
APTV,Aptiv Plc,Consumer Discretionary
ARE,Alexandria Real Estate Equities,Real Estate
ARNC,Arconic Inc.,Industrials
ATO,Atmos Energy Corp,Utilities
ATVI,Activision Blizzard,Communication Services
AVB,AvalonBay Communities  Inc.,Real Estate
AVGO,Broadcom Inc.,Information Technology
AVY,Avery Dennison Corp,Materials
AWK,American Water Works Company Inc,Utilities
AXP,American Express Co,Financials
AZO,AutoZone Inc,Consumer Discretionary
BA,Boeing Company,Industrials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,Health Care
BBT,BB&T Corporation,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BDX,Becton Dickinson,Health Care
BEN,Franklin Resources,Financials
BF.B,Brown-Forman Corp.,Consumer Staples
BIIB,Biogen Inc.,Health Care
BK,The Bank of New York Mellon Corp.,Financials
BKNG,Booking Holdings Inc,Consumer Discretionary
BKR,Baker Hughes Co,Energy
BLK,BlackRock,Financials
BLL,Ball Corp,Materials
BMY,Bristol-Myers Squibb,Health Care
BR,Broadridge Financial Solutions,Information Technology
BRK.B,Berkshire Hathaway,Financials
BSX,Boston Scientific,Health Care
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Real Estate
C,Citigroup Inc.,Financials
CAG,Conagra Brands,Consumer Staples
CAH,Cardinal Health Inc.,Health Care
CAT,Caterpillar Inc.,Industrials
CB,Chubb Limited,Financials
CBOE,Cboe Global Markets,Financials
CBRE,CBRE Group,Real Estate
CBS,CBS Corp.,Communication Services
CCI,Crown Castle International Corp.,Real Estate
CCL,Carnival Corp.,Consumer Discretionary
CDNS,Cadence Design Systems,Information Technology
CDW,CDW,Information Technology
CE,Celanese,Materials
CERN,Cerner,Health Care
CF,CF Industries Holdings Inc,Materials
CFG,Citizens Financial Group,Financials
CHD,Church & Dwight,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
CHTR,Charter Communications,Communication Services
CI,CIGNA Corp.,Health Care
CINF,Cincinnati Financial,Financials
CL,Colgate-Palmolive,Consumer Staples
CLX,The Clorox Company,Consumer Staples
CMA,Comerica Inc.,Financials
CMCSA,Comcast Corp.,Communication Services
CME,CME Group Inc.,Financials
CMG,Chipotle Mexican Grill,Consumer Discretionary
CMI,Cummins Inc.,Industrials
CMS,CMS Energy,Utilities
