Symbol;Security;;GICS Sector;GICS Sub Industry;;;;
A;Agilent Technologies Inc;;Health Care;Health Care Equipment;;;;
AAL;American Airlines Group;;Industrials;Airlines;;;;
AAP;Advance Auto Parts;;Consumer Discretionary;Automotive Retail;;;;
AAPL;Apple Inc.;;Information Technology;Technology Hardware  Storage & Peripherals;;;;
ABBV;AbbVie Inc.;;Health Care;Pharmaceuticals;;;;
ABC;AmerisourceBergen Corp;;Health Care;Health Care Distributors;;;;
ABMD;ABIOMED Inc;;Health Care;Health Care Equipment;;;;
ABT;Abbott Laboratories;;Health Care;Health Care Equipment;;;;
ACN;Accenture plc;;Information Technology;IT Consulting & Other Services;;;;
ADBE;Adobe Systems Inc;;Information Technology;Application Software;;;;
ADI;Analog Devices  Inc.;;Information Technology;Semiconductors;;;;
ADM;Archer-Daniels-Midland Co;;Consumer Staples;Agricultural Products;;;;
ADP;Automatic Data Processing;;Information Technology;Internet Services & Infrastructure;;;;
ADS;Alliance Data Systems;;Information Technology;Data Processing & Outsourced Services;;;;
ADSK;Autodesk Inc.;;Information Technology;Application Software;;;;
AEE;Ameren Corp;;Utilities;Multi-Utilities;;;;
AEP;American Electric Power;;Utilities;Electric Utilities;;;;
AES;AES Corp;;Utilities;Independent Power Producers & Energy Traders;;;;
AFL;AFLAC Inc;;Financials;Life & Health Insurance;;;;
AGN;Allergan  Plc;;Health Care;Pharmaceuticals;;;;
AIG;American International Group;;Financials;Property & Casualty Insurance;;;;
AIV;Apartment Investment & Management;;Real Estate;Residential REITs;;;;
AIZ;Assurant;;Financials;Multi-line Insurance;;;;
AJG;Arthur J. Gallagher & Co.;;Financials;Insurance Brokers;;;;
AKAM;Akamai Technologies Inc;;Information Technology;Internet Services & Infrastructure;;;;
ALB;Albemarle Corp;;Materials;Specialty Chemicals;;;;
ALGN;Align Technology;;Health Care;Health Care Supplies;;;;
ALK;Alaska Air Group Inc;;Industrials;Airlines;;;;
ALL;Allstate Corp;;Financials;Property & Casualty Insurance;;;;
ALLE;Allegion;;Industrials;Building Products;;;;
ALXN;Alexion Pharmaceuticals;;Health Care;Biotechnology;;;;
AMAT;Applied Materials Inc.;;Information Technology;Semiconductor Equipment;;;;
AMCR;Amcor plc;;Materials;Paper Packaging;;;;
AMD;Advanced Micro Devices Inc;;Information Technology;Semiconductors;;;;
AME;AMETEK Inc.;;Industrials;Electrical Components & Equipment;;;;
AMG;Affiliated Managers Group Inc;;Financials;Asset Management & Custody Banks;;;;
AMGN;Amgen Inc.;;Health Care;Biotechnology;;;;
AMP;Ameriprise Financial;;Financials;Asset Management & Custody Banks;;;;
AMT;American Tower Corp.;;Real Estate;Specialized REITs;;;;
AMZN;Amazon.com Inc.;;Consumer Discretionary;Internet & Direct Marketing Retail;;;;
ANET;Arista Networks;;Information Technology;Communications Equipment;;;;
ANSS;ANSYS;;Information Technology;Application Software;;;;
ANTM;Anthem;;Health Care;Managed Health Care;;;;
AON;Aon plc;;Financials;Insurance Brokers;;;;
AOS;A.O. Smith Corp;;Industrials;Building Products;;;;
APA;Apache Corporation;;Energy;Oil & Gas Exploration & Production;;;;
APD;Air Products & Chemicals Inc;;Materials;Industrial Gases;;;;
APH;Amphenol Corp;;Information Technology;Electronic Components;;;;
APTV;Aptiv Plc;;Consumer Discretionary;Auto Parts & Equipment;;;;
ARE;Alexandria Real Estate Equities;;Real Estate;Office REITs;;;;
ARNC;Arconic Inc.;;Industrials;Aerospace & Defense;;;;
ATO;Atmos Energy Corp;;Utilities;Gas Utilities;;;;
ATVI;Activision Blizzard;;Communication Services;Interactive Home Entertainment;;;;
AVB;AvalonBay Communities  Inc.;;Real Estate;Residential REITs;;;;
AVGO;Broadcom Inc.;;Information Technology;Semiconductors;;;;
AVY;Avery Dennison Corp;;Materials;Paper Packaging;;;;
AWK;American Water Works Company Inc;;Utilities;Water Utilities;;;;
AXP;American Express Co;;Financials;Consumer Finance;;;;
AZO;AutoZone Inc;;Consumer Discretionary;Specialty Stores;;;;
BA;Boeing Company;;Industrials;Aerospace & Defense;;;;
BAC;Bank of America Corp;;Financials;Diversified Banks;;;;
BAX;Baxter International Inc.;;Health Care;Health Care Equipment;;;;
BBT;BB&T Corporation;;Financials;Regional Banks;;;;
BBY;Best Buy Co. Inc.;;Consumer Discretionary;Computer & Electronics Retail;;;;
BDX;Becton Dickinson;;Health Care;Health Care Equipment;;;;
BEN;Franklin Resources;;Financials;Asset Management & Custody Banks;;;;
BF.B;Brown-Forman Corp.;;Consumer Staples;Distillers & Vintners;;;;
BIIB;Biogen Inc.;;Health Care;Biotechnology;;;;
BK;The Bank of New York Mellon Corp.;;Financials;Asset Management & Custody Banks;;;;
BKNG;Booking Holdings Inc;;Consumer Discretionary;Internet & Direct Marketing Retail;;;;
BKR;Baker Hughes Co;;Energy;Oil & Gas Equipment & Services;;;;
BLK;BlackRock;;Financials;Asset Management & Custody Banks;;;;
BLL;Ball Corp;;Materials;Metal & Glass Containers;;;;
BMY;Bristol-Myers Squibb;;Health Care;Health Care Distributors;;;;
BR;Broadridge Financial Solutions;;Information Technology;Data Processing & Outsourced Services;;;;
BRK.B;Berkshire Hathaway;;Financials;Multi-Sector Holdings;;;;
BSX;Boston Scientific;;Health Care;Health Care Equipment;;;;
BWA;BorgWarner;;Consumer Discretionary;Auto Parts & Equipment;;;;
BXP;Boston Properties;;Real Estate;Office REITs;;;;
C;Citigroup Inc.;;Financials;Diversified Banks;;;;
CAG;Conagra Brands;;Consumer Staples;Packaged Foods & Meats;;;;
CAH;Cardinal Health Inc.;;Health Care;Health Care Distributors;;;;
CAT;Caterpillar Inc.;;Industrials;Construction Machinery & Heavy Trucks;;;;
CB;Chubb Limited;;Financials;Property & Casualty Insurance;;;;
CBOE;Cboe Global Markets;;Financials;Financial Exchanges & Data;;;;
CBRE;CBRE Group;;Real Estate;Real Estate Services;;;;
CBS;CBS Corp.;;Communication Services;Broadcasting;;;;
CCI;Crown Castle International Corp.;;Real Estate;Specialized REITs;;;;
CCL;Carnival Corp.;;Consumer Discretionary;Hotels  Resorts & Cruise Lines;;;;
CDNS;Cadence Design Systems;;Information Technology;Application Software;;;;
CDW;CDW;;Information Technology;Technology Distributors;;;;
CE;Celanese;;Materials;Specialty Chemicals;;;;
CERN;Cerner;;Health Care;Health Care Technology;;;;
CF;CF Industries Holdings Inc;;Materials;Fertilizers & Agricultural Chemicals;;;;
CFG;Citizens Financial Group;;Financials;Regional Banks;;;;
CHD;Church & Dwight;;Consumer Staples;Household Products;;;;
CHRW;C. H. Robinson Worldwide;;Industrials;Air Freight & Logistics;;;;
CHTR;Charter Communications;;Communication Services;Cable & Satellite;;;;
CI;CIGNA Corp.;;Health Care;Managed Health Care;;;;
CINF;Cincinnati Financial;;Financials;Property & Casualty Insurance;;;;
