Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
A,"Agilent Technologies, Inc.",80.77,0.008121827,24995.73036,23.76,0.192997941,1.165845794
AAL,"American Airlines Group, Inc.",28.74,0.013917884,12589.78692,8.09,0.112622125,1.570904061
AAP,"Advance Auto Parts, Inc.",157.08,0.001527884,10879.26655,25.27,0.03861563,0.680250464
AAPL,"Apple, Inc.",267.25,0.011225444,1187463.908,22.39,0.251378392,1.488606302
ABBV,"AbbVie, Inc.",87.73,0.048786048,129736.8786,40.23,1.962762542,0.889468866
ABC,AmerisourceBergen Corp.,87.91,0.018200432,18102.60302,21.61,0.393342675,0.803905086
ABMD,"ABIOMED, Inc.",196.18,N/A,8858.5079,40.11,N/A,1.319418221
ABT,Abbott Laboratories,85.45,0.01497952,151024.33,45.98,0.688727468,1.039833775
ACN,Accenture Plc,201.16,0.014515808,127749.2731,26.84,0.389619054,0.992820959
ADBE,"Adobe, Inc.",309.53,N/A,149836.9729,54.29,N/A,1.434857438
ADI,"Analog Devices, Inc.",112.95,0.018592297,41724.4077,30.68,0.570466152,1.368510315
ADM,Archer-Daniels-Midland Co.,42.93,0.032261822,23898.52998,20.29,0.654536862,0.832661054
ADP,"Automatic Data Processing, Inc.",170.78,0.018503338,73896.16444,31.24,0.578119283,1.010390645
ADS,Alliance Data Systems Corp.,106.91,0.023010008,4923.868342,-56.21,-1.293307397,1.270543708
ADSK,"Autodesk, Inc.",180.9,N/A,39723.4692,269.36,N/A,1.50348928
AEE,Ameren Corp.,74.33,0.025561684,18287.4099,22.75,0.581502112,0.306564259
AEP,"American Electric Power Co., Inc.",91.35,0.029337712,45122.5152,21.16,0.620686461,0.217179771
AES,The AES Corp.,18.91,0.028873612,12554.21663,24.69,0.7128868,0.665199921
AFL,"Aflac, Inc.",54.84,0.019511306,40253.54712,13.47,0.262892804,0.718488773
AGN,Allergan Plc,184.94,0.015897048,60711.54838,-6.64,-0.105567046,0.69508389
AIG,"American International Group, Inc.",52.66,0.024306874,45811.67232,25.7,0.624725462,0.950591221
AIV,Apartment Investment & Management Co.,53.77,0.029273091,8005.54645,23.07,0.675339648,0.487677393
AIZ,"Assurant, Inc.",132.87,0.018062768,8056.70532,31.88,0.575912461,0.766110646
AJG,Arthur J. Gallagher & Co.,93.27,0.018226654,17397.00021,25.09,0.457370389,0.784013298
AKAM,"Akamai Technologies, Inc.",87.12,N/A,14078.67912,31.24,N/A,1.083875096
ALB,Albemarle Corp.,65.38,0.021986846,6932.43754,12.1,0.266065744,1.48840578
ALGN,"Align Technology, Inc.",277.34,N/A,21857.99742,52.83,N/A,1.590953355
ALK,"Alaska Air Group, Inc.",69.01,0.019852195,8500.16873,13.93,0.276555372,0.952209409
ALL,The Allstate Corp.,111.35,0.017602155,36072.5006,13.81,0.243088715,0.710970651
ALLE,Allegion Plc,120.03,0.008497876,11152.82751,24.88,0.211451553,0.903485554
ALXN,"Alexion Pharmaceuticals, Inc.",113.94,N/A,25213.89654,17.34,N/A,1.352450166
