,Headline,Date,Provider
0,"​ UDAY states see Rs 11,989-crore drop in interest cost - The Economic Times",2017-03-20,Economic Times India
1,Income Tax India: 1 taxpayer owes 11% of India's individual income tax in 2014-15 - The Economic Times,2017-01-24,Economic Times India
2,$10 billion unhedged gap in foreign exchange deposit redemptions may put rupee under pressure - The Economic Times,2016-10-17,Economic Times India
3,10% cost reduction can add $5.5 billion to India's trade revenues - The Economic Times,2017-01-19,Economic Times India
4,10% cost reduction can add $5.5 billion to India's trade revenues - The Economic Times,2017-01-19,Economic Times India
5,​10% ethanol blending can save $1.7 billion in forex for India: Report - The Economic Times,2015-08-11,Economic Times India
6,$100 bn FDI milestone for India  - The Economic Times,2009-10-04,Economic Times India
7,100 days after note ban: E-payments off peak - The Economic Times,2017-02-17,Economic Times India
8,100 days after note ban: E-payments off peak - The Economic Times,2017-02-17,Economic Times India
9,100 foreign funds get tax demands; total bill may hit $10-bn - The Economic Times,2015-04-05,Economic Times India
10,"10,932 companies default on PF payments to EPFO - The Economic Times",2016-08-10,Economic Times India
11,"10,932 companies default on PF payments to EPFO - The Economic Times",2016-08-10,Economic Times India
12,Haryana gets investment commitment of Rs 3 lakh crore - The Economic Times,2016-03-08,Economic Times India
13,11 PSBs need Rs 1.2 lakh crore capital infusion by 2020: Moody's - The Economic Times,2016-06-10,Economic Times India
14,"GST: 11 states may see Rs 9,500 crore revenue loss this year under GST",2017-08-22,Economic Times India
15,"1,140 farmhouse owners issued notice for tax evasion: SDMC - The Economic Times",2016-06-16,Economic Times India
16,NPA: 12 large NPAs: Banks may see provisions doubling this year - The Economic Times,2017-06-30,Economic Times India
17,"Arun Jaitley: 133 companies owe over Rs 3,39,704 crore to exchequer",2017-07-25,Economic Times India
18,14th Finance Commission: Government accepts recommendations; gives higher share to states in central taxes - The Economic Times,2015-02-25,Economic Times India
19,14th Finance Commission recommendations 'watershed' in Indian federalism: CEA - The Economic Times,2015-02-26,Economic Times India
20,15 sick public sector units report profits,2010-04-15,Economic Times India
21,15th Finance Commission chairman says discretion to play key role in fund allocation - The Economic Times,2018-04-28,Economic Times India
22,GST: 15th Finance Commission to commission study on cess collections of Centre - The Economic Times,2018-02-28,Economic Times India
23,16 PSUs in Assam makes turnaround - The Economic Times,2012-07-11,Economic Times India
24,$181 billion Indian black money hidden in tax havens? - The Economic Times,2016-03-21,Economic Times India
25,"GST: 20 lakh businesses pay GST so far, more to follow: GSTN Chairman - The Economic Times",2017-08-23,Economic Times India
